Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,272.000000,272.720001,268.559998,271.359985,271.359985,2281813
2013-01-08,272.079987,274.559998,269.600006,274.239990,274.239990,2094902
2013-01-15,274.000000,279.519989,271.359985,278.160004,278.160004,2233589
2013-01-22,278.559998,280.720001,275.040009,279.519989,279.519989,2854776
2013-01-29,281.519989,284.239990,277.679993,278.239990,278.239990,3283601
2013-02-05,280.399994,281.200012,275.519989,280.959991,280.959991,2405002
2013-02-12,282.079987,283.920013,275.839996,277.760010,277.760010,2127263
2013-02-19,277.279999,280.320007,265.359985,265.679993,265.679993,4041652
2013-02-26,267.600006,268.959991,257.279999,259.200012,259.200012,3480477
2013-03-05,260.320007,265.200012,257.839996,264.320007,264.320007,2467440
2013-03-12,267.679993,270.000000,264.000000,269.200012,269.200012,1854526
2013-03-19,269.519989,273.839996,262.959991,270.799988,270.799988,3123864
2013-03-26,273.920013,278.720001,272.640015,277.440002,277.440002,2284051
2013-04-02,275.200012,278.880005,263.359985,267.920013,267.920013,3862189
2013-04-09,266.640015,271.359985,251.520004,251.919998,251.919998,4096814
2013-04-16,252.880005,255.199997,246.320007,254.559998,254.559998,4408526
2013-04-23,252.160004,269.920013,251.360001,268.880005,268.880005,3822875
2013-04-30,269.119995,274.399994,256.959991,273.119995,273.119995,4643000
2013-05-07,272.959991,275.760010,266.239990,270.880005,270.880005,3230427
2013-05-14,270.239990,276.720001,262.720001,275.519989,275.519989,3606264
2013-05-21,275.040009,275.600006,262.079987,266.959991,266.959991,3532250
2013-05-28,272.079987,272.320007,260.239990,265.279999,265.279999,4164764
2013-06-04,264.000000,273.920013,262.480011,272.000000,272.000000,2903739
2013-06-11,268.320007,279.519989,268.000000,278.079987,278.079987,2892277
2013-06-18,278.799988,280.480011,263.839996,269.119995,269.119995,4038626
2013-06-25,271.359985,278.399994,265.440002,277.359985,277.359985,3173151
2013-07-02,279.200012,293.359985,278.880005,291.279999,291.279999,4050663
2013-07-09,290.959991,302.079987,290.640015,301.359985,301.359985,4405601
2013-07-16,302.160004,308.959991,299.760010,303.359985,303.359985,2977151
2013-07-23,301.920013,305.519989,295.519989,297.040009,297.040009,2866576
2013-07-30,295.200012,307.279999,292.000000,302.640015,302.640015,3437188
2013-08-06,302.320007,302.480011,290.799988,302.079987,302.079987,4304814
2013-08-13,301.839996,308.559998,300.559998,305.359985,305.359985,2859002
2013-08-20,301.519989,305.679993,295.920013,303.679993,303.679993,3550926
2013-08-27,311.200012,315.679993,305.679993,307.839996,307.839996,5741451
2013-09-03,306.000000,316.320007,305.119995,311.519989,311.519989,4371164
2013-09-10,305.760010,312.079987,304.239990,304.880005,304.880005,3803926
2013-09-17,303.760010,310.399994,297.279999,298.160004,298.160004,4121789
2013-09-24,296.399994,299.040009,291.200012,294.799988,294.799988,2900277
2013-10-01,292.880005,300.720001,291.279999,297.119995,297.119995,3698239
2013-10-08,299.040009,299.920013,291.359985,294.959991,294.959991,3760026
2013-10-15,293.200012,297.440002,286.799988,287.519989,287.519989,3651751
2013-10-22,287.839996,289.200012,276.720001,284.399994,284.399994,4550452
2013-10-29,283.119995,283.920013,272.160004,272.320007,272.320007,3463626
2013-11-05,271.440002,274.959991,268.399994,274.079987,274.079987,3446364
2013-11-12,272.880005,274.399994,267.600006,268.959991,268.959991,3390951
2013-11-19,269.440002,274.559998,267.839996,270.559998,270.559998,3198988
2013-11-26,270.239990,270.880005,263.600006,269.440002,269.440002,2409788
2013-12-03,270.399994,281.359985,270.399994,279.279999,279.279999,4609539
2013-12-10,282.399994,282.799988,276.559998,279.519989,279.519989,3445315
2013-12-17,280.399994,284.959991,278.640015,282.880005,282.880005,2287101
2013-12-24,283.679993,288.559998,282.000000,284.239990,284.239990,1326801
2013-12-31,282.239990,283.040009,266.880005,268.559998,268.559998,3792864
2014-01-07,267.760010,269.839996,261.440002,262.480011,262.480011,3386601
2014-01-14,264.160004,270.880005,263.359985,269.519989,269.519989,2806763
2014-01-21,272.000000,279.359985,269.920013,273.839996,273.839996,3129889
2014-01-28,276.720001,281.440002,274.880005,276.160004,276.160004,3713977
2014-02-04,277.760010,286.880005,276.480011,285.040009,285.040009,2224639
2014-02-11,284.880005,289.279999,284.320007,287.279999,287.279999,1303688
2014-02-18,290.399994,296.880005,289.760010,294.320007,294.320007,2495338
2014-02-25,291.760010,301.920013,289.920013,300.160004,300.160004,2262164
2014-03-04,297.440002,297.600006,287.359985,290.399994,290.399994,2288052
2014-03-11,289.440002,290.079987,279.760010,281.200012,281.200012,2315302
2014-03-18,281.760010,289.119995,281.760010,286.559998,286.559998,1446450
2014-03-25,287.760010,294.720001,284.959991,292.720001,292.720001,1291427
2014-04-01,291.600006,292.959991,285.040009,290.239990,290.239990,1797550
2014-04-08,291.679993,300.559998,290.559998,299.040009,299.040009,1990126
2014-04-15,299.040009,302.480011,298.000000,301.119995,301.119995,1477763
2014-04-22,297.679993,297.839996,291.839996,293.679993,293.679993,1283551
2014-04-29,296.559998,297.200012,287.679993,289.119995,289.119995,1467563
2014-05-06,290.480011,294.160004,289.279999,292.720001,292.720001,991840
2014-05-13,294.640015,300.160004,293.679993,299.040009,299.040009,1169451
2014-05-20,298.640015,306.160004,297.920013,305.440002,305.440002,1486688
2014-05-27,304.000000,305.359985,299.040009,300.239990,300.239990,1081576
2014-06-03,299.920013,305.839996,297.679993,305.440002,305.440002,1030777
2014-06-10,306.640015,314.239990,304.399994,313.359985,313.359985,1689989
2014-06-17,313.040009,315.519989,310.239990,313.279999,313.279999,1454114
2014-06-24,312.720001,314.559998,308.720001,311.040009,311.040009,1180201
2014-07-01,312.160004,312.959991,304.399994,305.359985,305.359985,988126
2014-07-08,306.079987,307.359985,295.679993,298.559998,298.559998,2882215
2014-07-15,294.720001,305.279999,292.640015,304.799988,304.799988,2740563
2014-07-22,304.559998,306.399994,299.119995,301.119995,301.119995,1425890
2014-07-29,298.239990,301.440002,287.839996,291.839996,291.839996,2399864
2014-08-05,290.640015,291.679993,286.559998,289.760010,289.760010,1870277
2014-08-12,287.679993,289.359985,279.040009,280.480011,280.480011,2666264
2014-08-19,280.160004,282.079987,276.640015,278.959991,278.959991,2292001
2014-08-26,280.799988,286.640015,278.799988,286.079987,286.079987,1413363
2014-09-02,282.239990,286.079987,274.160004,277.600006,277.600006,2671939
2014-09-09,278.079987,278.559998,271.279999,276.480011,276.480011,2832964
2014-09-16,278.480011,283.359985,272.239990,273.519989,273.519989,2749238
2014-09-23,274.239990,284.959991,273.440002,284.160004,284.160004,2439539
2014-09-30,283.440002,283.839996,267.279999,272.320007,272.320007,4758314
2014-10-07,270.320007,270.480011,253.679993,255.919998,255.919998,4047951
2014-10-14,255.279999,255.360001,241.600006,249.119995,249.119995,7833114
2014-10-21,251.360001,252.800003,241.279999,245.119995,245.119995,4061489
2014-10-28,245.520004,251.600006,237.279999,238.080002,238.080002,5161126
2014-11-04,234.479996,241.360001,231.119995,234.720001,234.720001,5867727
2014-11-11,234.720001,236.720001,224.800003,229.440002,229.440002,5291089
2014-11-18,227.839996,233.839996,224.800003,229.919998,229.919998,5061526
2014-11-25,232.320007,232.559998,202.080002,210.559998,210.559998,10754300
2014-12-02,206.800003,208.639999,190.639999,191.279999,191.279999,8306889
2014-12-09,190.960007,194.559998,167.759995,168.479996,168.479996,14007339
2014-12-16,165.199997,179.440002,164.240005,167.360001,167.360001,22084176
2014-12-23,167.520004,174.160004,160.160004,162.399994,162.399994,7512701
2014-12-30,162.479996,164.399994,150.320007,150.320007,150.320007,11751889
2015-01-06,148.479996,149.600006,139.119995,139.279999,139.279999,19692213
2015-01-13,138.000000,148.880005,136.800003,146.639999,146.639999,20401039
2015-01-20,141.360001,144.240005,134.880005,134.960007,134.960007,18859790
2015-01-27,135.360001,149.600006,130.399994,148.960007,148.960007,22674501
2015-02-03,151.600006,162.320007,143.600006,158.160004,158.160004,33695651
2015-02-10,156.720001,159.759995,144.080002,156.960007,156.960007,16590776
2015-02-17,155.039993,161.520004,144.160004,144.880005,144.880005,22781351
2015-02-24,147.279999,150.399994,140.639999,146.559998,146.559998,18625452
2015-03-03,146.559998,152.800003,143.759995,146.800003,146.800003,15698376
