Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,3.377000,3.497000,3.297000,3.328000,3.328000,0
2011-01-08,3.314000,3.418000,3.255000,3.333000,3.333000,0
2011-01-15,3.288000,3.474000,3.281000,3.416000,3.416000,0
2011-01-22,3.414000,3.462000,3.309000,3.329000,3.329000,0
2011-01-29,3.357000,3.666000,3.329000,3.652000,3.652000,0
2011-02-05,3.670000,3.744000,3.608000,3.646000,3.646000,0
2011-02-12,3.646000,3.664000,3.550000,3.589000,3.589000,0
2011-02-19,3.528000,3.544000,3.415000,3.425000,3.425000,0
2011-02-26,3.425000,3.595000,3.403000,3.492000,3.492000,0
2011-03-05,3.527000,3.555000,3.349000,3.393000,3.393000,0
2011-03-12,3.388000,3.388000,3.141000,3.277000,3.277000,0
2011-03-19,3.306000,3.461000,3.280000,3.444000,3.444000,0
2011-03-26,3.467000,3.526000,3.403000,3.451000,3.451000,0
2011-04-02,3.440000,3.619000,3.399000,3.570000,3.570000,0
2011-04-09,3.596000,3.602000,3.399000,3.410000,3.410000,0
2011-04-16,3.374000,3.455000,3.348000,3.400000,3.400000,0
2011-04-23,3.385000,3.396000,3.286000,3.296000,3.296000,0
2011-04-30,3.312000,3.312000,3.128000,3.157000,3.157000,0
2011-05-07,3.175000,3.248000,3.132000,3.187000,3.187000,0
2011-05-14,3.169000,3.241000,3.098000,3.152000,3.152000,0
2011-05-21,3.097000,3.162000,3.055000,3.064000,3.064000,0
2011-05-28,3.086000,3.099000,2.948000,2.997000,2.997000,0
2011-06-04,3.002000,3.055000,2.919000,2.971000,2.971000,0
2011-06-11,2.993000,3.103000,2.893000,2.944000,2.944000,0
2011-06-18,2.900000,3.000000,2.847000,2.871000,2.871000,0
2011-06-25,2.880000,3.223000,2.855000,3.197000,3.197000,0
2011-07-02,3.151000,3.181000,3.008000,3.016000,3.016000,0
2011-07-09,2.948000,2.984000,2.875000,2.908000,2.908000,0
2011-07-16,2.877000,3.036000,2.875000,2.964000,2.964000,0
2011-07-23,3.004000,3.032000,2.805000,2.805000,2.805000,0
2011-07-30,2.792000,2.821000,2.428000,2.558000,2.558000,0
2011-08-06,2.497000,2.503000,2.092000,2.237000,2.237000,0
2011-08-13,2.269000,2.301000,1.978000,2.071000,2.071000,0
2011-08-20,2.115000,2.294000,2.064000,2.188000,2.188000,0
2011-08-27,2.225000,2.296000,1.996000,1.996000,1.996000,0
2011-09-03,1.948000,2.060000,1.896000,1.915000,1.915000,0
2011-09-10,1.896000,2.118000,1.896000,2.076000,2.076000,0
2011-09-17,1.992000,1.992000,1.696000,1.808000,1.808000,0
2011-09-24,1.849000,2.065000,1.833000,1.924000,1.924000,0
2011-10-01,1.883000,2.118000,1.717000,2.068000,2.068000,0
2011-10-08,2.076000,2.269000,2.076000,2.232000,2.232000,0
2011-10-15,2.233000,2.244000,2.104000,2.203000,2.203000,0
2011-10-22,2.182000,2.407000,2.112000,2.306000,2.306000,0
2011-10-29,2.236000,2.237000,1.956000,2.050000,2.050000,0
2011-11-05,2.034000,2.108000,1.929000,2.056000,2.056000,0
2011-11-12,2.097000,2.097000,1.938000,2.012000,2.012000,0
2011-11-19,1.957000,1.988000,1.879000,1.967000,1.967000,0
2011-11-26,2.064000,2.156000,1.951000,2.042000,2.042000,0
2011-12-03,2.082000,2.110000,1.972000,2.052000,2.052000,0
2011-12-10,2.028000,2.059000,1.835000,1.854000,1.854000,0
2011-12-17,1.858000,2.037000,1.801000,2.030000,2.030000,0
2011-12-24,2.030000,2.031000,1.857000,1.871000,1.871000,0
2011-12-31,1.951000,2.044000,1.914000,1.961000,1.961000,0
2012-01-07,1.975000,2.009000,1.836000,1.853000,1.853000,0
2012-01-14,1.900000,2.033000,1.836000,2.028000,2.028000,0
2012-01-21,2.060000,2.094000,1.888000,1.898000,1.898000,0
2012-01-28,1.842000,1.956000,1.797000,1.949000,1.949000,0
2012-02-04,1.924000,2.080000,1.886000,1.969000,1.969000,0
2012-02-11,2.000000,2.038000,1.900000,2.010000,2.010000,0
2012-02-18,2.023000,2.080000,1.969000,1.977000,1.977000,0
2012-02-25,1.939000,2.064000,1.896000,1.986000,1.986000,0
2012-03-03,1.993000,2.059000,1.931000,2.038000,2.038000,0
2012-03-10,2.003000,2.363000,1.989000,2.298000,2.298000,0
2012-03-17,2.271000,2.397000,2.210000,2.237000,2.237000,0
2012-03-24,2.269000,2.287000,2.141000,2.216000,2.216000,0
2012-03-31,2.200000,2.284000,2.140000,2.175000,2.175000,0
2012-04-07,2.032000,2.063000,1.965000,1.998000,1.998000,0
2012-04-14,1.970000,2.016000,1.946000,1.970000,1.970000,0
2012-04-21,1.923000,2.037000,1.910000,1.933000,1.933000,0
2012-04-28,1.919000,1.961000,1.873000,1.880000,1.880000,0
2012-05-05,1.873000,1.921000,1.793000,1.841000,1.841000,0
2012-05-12,1.781000,1.819000,1.700000,1.702000,1.702000,0
2012-05-19,1.735000,1.805000,1.707000,1.745000,1.745000,0
2012-05-26,1.726000,1.740000,1.440000,1.467000,1.467000,0
2012-06-02,1.500000,1.685000,1.487000,1.637000,1.637000,0
2012-06-09,1.634000,1.686000,1.564000,1.587000,1.587000,0
2012-06-16,1.567000,1.683000,1.560000,1.672000,1.672000,0
2012-06-23,1.625000,1.676000,1.568000,1.659000,1.659000,0
2012-06-30,1.643000,1.643000,1.537000,1.544000,1.544000,0
